Ano,Mês,Geral,Alimentícios,Não-alimentícios
2023,jan,"0,53","0,59","0,51"
2023,fev,"0,84","0,16","1,03"
2023,mar,"0,71","0,05","0,89"
2023,abr,"0,61","0,71","0,58"
2023,mai,"0,23","0,16","0,25"
2023,jun,"-0,08","-0,66","0,08"
2023,jul,"0,12","-0,46","0,28"
2023,ago,"0,23","-0,85","0,52"
2023,set,"0,26","-0,71","0,52"
2023,out,"0,24","0,31","0,22"
2023,nov,"0,28","0,63","0,19"
2023,dez,"0,56","1,11","0,41"
2024,jan,"0,42","1,38","0,16"
2024,fev,"0,83","0,95","0,80"
2024,mar,"0,16","0,53","0,06"
2024,abr,"0,38","0,70","0,29"
2024,mai,"0,46","0,62","0,42"
2024,jun,"0,21","0,44","0,15"
2024,jul,"0,38","-1,00","0,76"
2024,ago,"-0,02","-0,44","0,09"
